season,id,name,short_name,home_team,away_team,home_captain,away_captain,venue_name,home_team_name,away_team_name
2015,829721,Rajasthan Royals v Mumbai Indians,RR v MI,RR,MI,Steven Smith,Rohit Sharma,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",Rajasthan Royals , Mumbai Indians
2015,829725,Kings XI Punjab v Delhi Daredevils,KXIP v DC,KXIP,DC,George Bailey,Jean-Paul Duminy,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab , Delhi Darede
2015,829727,Sunrisers Hyderabad v Rajasthan Royals,SRH v RR,SRH,RR,David Warner,Steven Smith,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad , Rajasthan Royals
2015,829729,Mumbai Indians v Chennai Super Kings,MI v CSK,MI,CSK,Rohit Sharma,MS Dhoni,"Wankhede Stadium, Mumbai",Mumbai Indians , Chennai Super Kings
2015,829731,Sunrisers Hyderabad v Delhi Daredevils,SRH v DC,SRH,DC,David Warner,Jean-Paul Duminy,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad , Delhi Darede
2015,829733,Kings XI Punjab v Kolkata Knight Riders,KXIP v KKR,KXIP,KKR,George Bailey,Gautam Gambhir,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab , Kolkata Knight Riders
2015,829735,Rajasthan Royals v Chennai Super Kings,RR v CSK,RR,CSK,Shane Watson,MS Dhoni,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",Rajasthan Royals , Chennai Super Kings
2015,829737,Royal Challengers Bangalore v Mumbai Indians,RCB v MI,RCB,MI,Virat Kohli,Rohit Sharma,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Mumbai Indians
2015,829739,Delhi Daredevils v Kolkata Knight Riders,DC v KKR,DC,KKR,Jean-Paul Duminy,Gautam Gambhir,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2015,829741,Rajasthan Royals v Kings XI Punjab,RR v KXIP,RR,KXIP,Shane Watson,Virender Sehwag,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",Rajasthan Royals , Kings XI Punjab
2015,829743,Sunrisers Hyderabad v Kolkata Knight Riders,SRH v KKR,SRH,KKR,David Warner,Gautam Gambhir,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad , Kolkata Knight Riders
2015,829745,Royal Challengers Bangalore v Chennai Super Kings,RCB v CSK,RCB,CSK,Virat Kohli,MS Dhoni,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Chennai Super Kings
2015,829747,Delhi Daredevils v Mumbai Indians,DC v MI,DC,MI,Jean-Paul Duminy,Rohit Sharma,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2015,829749,Rajasthan Royals v Royal Challengers Bangalore,RR v RCB,RR,RCB,Shane Watson,Virat Kohli,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",Rajasthan Royals , Royal Challengers Bangalore
2015,829751,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,MI,SRH,Rohit Sharma,David Warner,"Wankhede Stadium, Mumbai",Mumbai Indians , Sunrisers Hyderabad
2015,829753,Chennai Super Kings v Kings XI Punjab,CSK v KXIP,CSK,KXIP,MS Dhoni,George Bailey,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Kings XI Punjab
2015,829757,Delhi Daredevils v Royal Challengers Bangalore,DC v RCB,DC,RCB,Jean-Paul Duminy,Virat Kohli,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2015,829759,Kings XI Punjab v Sunrisers Hyderabad,KXIP v SRH,KXIP,SRH,George Bailey,David Warner,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Sunrisers Hyderabad
